V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
20171002,ADA,LTC,EOS,INNBCL,BSV,0.123342988387966,0.0862517142644739,0.0761036368842568,0.0552639619636226,0.050060721775817
20171003,ADA,BTC,LINK,LTC,EOS,0.444254862861035,0.136276142911962,0.0922024203054356,0.0811881552240729,0.0737437664327003
20171004,BTC,XLM,ADA,EOS,LTC,0.215298258138701,0.19261579323914,0.117443268464191,0.10390821488141,0.0858994157598016
20171005,ADA,BTC,EOS,LTC,XLM,0.194425453523665,0.114223519747105,0.108655920269697,0.0768161454988624,0.0659132257058768
20171006,BTC,EOS,LTC,XLM,XRP,0.111611038963042,0.101077033924191,0.0902748808216952,0.0590613739332938,0.0583802287880779
20171007,BTC,EOS,BNB,LTC,XLM,0.206069642153862,0.0972007015874536,0.0938542161345905,0.0713175695622655,0.0580422575223946
20171008,BTC,XLM,BNB,INNBCL,ADA,0.122384440826785,0.109689633526648,0.0954120977728371,0.0920432747211959,0.0811198083620928
20171009,BTC,BNB,XLM,ADA,EOS,0.111071418983738,0.0938025257382231,0.0803714457388037,0.0697531869058781,0.0694616621463659
20171010,BTC,XMR,BNB,ADA,EOS,0.124096329572534,0.0940116607460467,0.0833400798042643,0.080353466590309,0.0793040579900065
20171011,BTC,EOS,XMR,XLM,BNB,0.16003884780705,0.159249992834956,0.0845279426971697,0.0824240233823102,0.0816163686797014
20171012,LINK,EOS,BTC,BNB,XMR,0.203813897957945,0.196888607323037,0.139638147777208,0.115310818635249,0.112507944827277
20171013,XTZ,LINK,BTC,XMR,BNB,0.192856036529953,0.161523822017239,0.131259861803635,0.120210202119354,0.116191353854156
20171014,XTZ,LINK,BTC,LTC,XMR,0.187036898300617,0.172717003527622,0.135222311829244,0.122792514756989,0.0823581526070356
20171015,XTZ,BTC,XLM,EOS,ADA,0.286886989790354,0.126032577868433,0.0870273511280498,0.0696584979644996,0.0596149259993477
20171016,XMR,BTC,XLM,BSV,LINK,0.131563081797345,0.116122965122559,0.0946656189718709,0.0752985478356093,0.0697467884931154
20171017,XTZ,XMR,BTC,LINK,BSV,0.145035141865626,0.127136408889175,0.121952165359914,0.0859888469693398,0.0742981485642356
20171018,XMR,XTZ,BTC,INNBCL,BSV,0.136193770211655,0.132260192291592,0.129272512401067,0.0806543855961694,0.0743060223631422
20171019,TAGZ5,BTC,XMR,BNB,INNBCL,0.163038148202778,0.145321451294474,0.137097705175092,0.117732362309672,0.0871146575187302
20171020,TAGZ5,XMR,BNB,INNBCL,EOS,0.153964095636604,0.123666819298333,0.0957666325736082,0.0731432245130468,0.0642769807777793
20171021,TAGZ5,INNBCL,BNB,EOS,XMR,0.150296412050613,0.0942610250376658,0.0710051399869171,0.0706319663329122,0.0521551644447055
20171022,TAGZ5,BTC,EOS,BSV,BNB,0.15408953810483,0.115731412114809,0.0884702997288401,0.0689098369993181,0.0665496380254798
20171023,BTC,EOS,LINK,BSV,BNB,0.118169464377904,0.0777525442267856,0.0618282235742788,0.0604279613883597,0.0512764121135999
20171024,EOS,BNB,XMR,BTC,BCH,0.0780951830363892,0.0571029927721199,0.0563518743165174,0.0553530140824846,0.0547389332355756
20171025,XMR,EOS,BNB,BSV,BTC,0.0842818897702395,0.0802101032273467,0.0662962991413017,0.063922757358022,0.0549653944506004
20171026,BNB,EOS,XMR,BSV,ADA,0.0649808518268136,0.0577018213197304,0.0572114528729186,0.0561105525258881,0.051458704112438
20171027,ADA,BSV,BNB,EOS,XMR,0.066968404687051,0.0616991413239025,0.0576257248627613,0.0575050204310526,0.0558140026099263
20171028,BTC,BSV,XTZ,XMR,EOS,0.0688576601972465,0.0639837956357717,0.0596926875126206,0.0566723720109744,0.0565817790871678
20171029,BCH,BNB,BTC,INNBCL,XMR,0.0645030536097065,0.0640820806154125,0.0599218424477871,0.0530138431365633,0.04997452208484
20171030,BTC,XMR,BCH,BNB,INNBCL,0.0568722790986017,0.0546428811214577,0.048721986578389,0.0458729898607402,0.0372130681236321
20171031,INNBCL,BTC,BCH,BNB,EOS,0.076495327793482,0.0648674465396156,0.0519181178573762,0.0453319341972272,0.0394503811590249
20171101,LTC,ADA,BNB,EOS,BCH,0.0878581219320708,0.0810494415496369,0.0765536038946272,0.0764686824692164,0.0709117184260884
20171102,BNB,XLM,TAGZ5,BSV,BCH,0.0894244771061387,0.0861668206123162,0.0828767591530981,0.0751180365427439,0.0672215184624289
20171103,TAGZ5,INNBCL,BSV,BNB,LTC,0.0815022134100683,0.0648724019240043,0.0629986209287407,0.0618462837121067,0.0603881354362095
20171104,TAGZ5,BSV,BNB,LTC,LINK,0.0854015296738879,0.0798721392886418,0.0705388278500294,0.0631794871982738,0.05517812741004
20171105,TAGZ5,BSV,BNB,XTZ,LINK,0.0848717405554601,0.0696872392227046,0.0669969911497711,0.0658767396304203,0.0570192385893516
20171106,LTC,XMR,BNB,XLM,BTC,0.0798693168987395,0.06397312048722,0.0606429190515147,0.0373486638784268,0.0297554047621084
20171107,BNB,XMR,EOS,BTC,XLM,0.075967447508537,0.0691614891381291,0.0461322696346974,0.0288556604508389,0.0234807029344193
20171108,BCH,XMR,INNBCL,XRP,BNB,0.103794303734878,0.0728316360664681,0.0625000078821287,0.0425717612137877,0.040996780912904
20171109,BCH,INNBCL,XMR,BNB,XRP,0.117004970390194,0.0756848562772335,0.0714258684973794,0.064547009521929,0.0467976537481838
20171110,BNB,INNBCL,EOS,XRP,TAGZ5,0.087472292299591,0.0787319163306372,0.0660483229393557,0.0448508805176406,0.0447557243931234
20171111,INNBCL,BNB,LTC,BTC,TAGZ5,0.0958649618133067,0.0927289352046074,0.0645407784159658,0.0570148306387997,0.0527506875670278
20171112,BSV,INNBCL,LINK,LTC,TAGZ5,0.110657241757279,0.0957020530501266,0.0539168388729454,0.0536468960895781,0.0403526716823739
20171113,INNBCL,TAGZ5,BCH,LTC,XLM,0.0783267690511305,0.0693766309037033,0.0529092007076437,0.0510523987455666,0.0473657637105015
20171114,INNBCL,LTC,BCH,TAGZ5,XTZ,0.0922823316002365,0.0742911607328316,0.0708776157719571,0.0545084647207143,0.0442251550715894
20171115,INNBCL,BCH,ETH,BNB,XTZ,0.114017841541596,0.0981110561826024,0.0570370222725664,0.0534248757813011,0.0506175266986953
20171116,INNBCL,BCH,BNB,XLM,EOS,0.0709737367832661,0.046428765406472,0.0422421060281062,0.0409285429748499,0.0389007079710868
20171117,BCH,XRP,INNBCL,TAGZ5,BTC,0.0535544883056194,0.0486372015456722,0.0452514972198623,0.0396149557262349,0.0356951159670321
20171118,INNBCL,BCH,TAGZ5,ETH,XMR,0.0491332070395014,0.0423086279262429,0.037431644686377,0.036910610763071,0.0360753837957448
20171119,BCH,INNBCL,BTC,XMR,EOS,0.063603416840316,0.0592986443715752,0.05481751299097,0.0476362093281584,0.0438902444267577
20171120,BCH,INNBCL,BTC,BNB,EOS,0.0615260186345021,0.0579368304108512,0.0509339459587416,0.0484552021040746,0.0455518195684773
20171121,BTC,INNBCL,BNB,EOS,BSV,0.0593289015543466,0.0573495786249952,0.0495310068784046,0.0442750372547636,0.0431622673475162
20171122,BSV,INNBCL,TAGZ5,XTZ,ETH,0.0805756268843568,0.0645697556613119,0.0526061608708163,0.0515635315994337,0.0392438048437984
20171123,XTZ,ETH,TAGZ5,XLM,EOS,0.0483141514939291,0.0409432044714173,0.0360959213063957,0.0354380496591922,0.0344934998574178
20171124,INNBCL,EOS,XTZ,XMR,ETH,0.0556609842683226,0.0470971548678781,0.0459730241657441,0.0444445744374671,0.0378728796934519
20171125,XLM,XTZ,LTC,TAGZ5,INNBCL,0.0885744645923562,0.0537708457934494,0.0470448998095519,0.0467282377129056,0.0466715676382357
20171126,XLM,XTZ,EOS,ETH,BCH,0.10645520315528,0.0474137127217224,0.0447803322784325,0.0414456189726449,0.0387004883797106
20171127,ETH,XTZ,XLM,BNB,LTC,0.062664594067931,0.0556975528388096,0.0541181027570308,0.0487747293228654,0.0434357942426796
20171128,TAGZ5,EOS,BSV,BCH,LTC,0.10920120636124,0.0566121725821354,0.0436860893331189,0.0420569601077008,0.0408007238478207
20171129,INNBCL,BNB,LTC,ETH,BSV,0.0690753731218808,0.0642729849981451,0.0561207108466295,0.0494609107046368,0.0459351643191237
20171130,LTC,EOS,XTZ,BSV,BCH,0.0592777778972799,0.0592452568721114,0.0383066875598038,0.0366304189429709,0.0326840385692167
20171201,XTZ,LTC,ETH,EOS,XRP,0.0904878904099251,0.0603323832464453,0.0474861422674764,0.0459112011355752,0.0420691097668127
20171202,EOS,LTC,XRP,ETH,BSV,0.0851609850404709,0.0628201718131906,0.0586691594369092,0.0464295673304135,0.0408601227665695
20171203,XTZ,LTC,XMR,EOS,ETH,0.10031909350765,0.0658709597266637,0.0569767865465251,0.049968511593554,0.046737068371017
20171204,XTZ,BCH,ADA,XRP,EOS,0.103812765848484,0.0683303036121351,0.066526292360026,0.0637414864632397,0.0592241719711176
20171205,XRP,XTZ,BNB,ETH,XMR,0.0748557422641152,0.0619666375865313,0.0567207198520233,0.0566996548863516,0.0558207381532765
20171206,XRP,XTZ,BNB,ETH,XLM,0.0768464069156459,0.0714169251327617,0.062427879090595,0.0483622316921167,0.0483127202490951
20171207,XTZ,LTC,BNB,ETH,XLM,0.069098220318915,0.0687882212750469,0.0583109552033959,0.0530835642325616,0.0507390763654892
20171208,XLM,TAGZ5,BNB,ADA,ETH,0.0814747563711501,0.0783683941420137,0.0576365762198089,0.0534324657291679,0.0511958545945979
20171209,BCH,BNB,XLM,LTC,BTC,0.11704942070527,0.100436675235767,0.0878627094819969,0.057159532077686,0.0550931042240906
20171210,BNB,XLM,BCH,LTC,EOS,0.0992572351478163,0.096015958363999,0.0870606709058765,0.0605729577017532,0.055610415491807
20171211,TAGZ5,XLM,EOS,BNB,ADA,0.0877295621768016,0.0773742216318523,0.071086659829972,0.0689550072506237,0.0673654534391808
20171212,EOS,TAGZ5,LTC,BNB,BCH,0.102979615375109,0.0942134089041536,0.0674688409279407,0.0645274204796534,0.0493393102661443
20171213,TAGZ5,EOS,LTC,BNB,ADA,0.147101912824683,0.0923870675958668,0.0635803766803235,0.0583037079248607,0.049605200240608
20171214,TAGZ5,XTZ,BNB,XMR,LINK,0.155197446951256,0.0988781909722327,0.0659958827786772,0.0582851641030495,0.0529313455632767
20171215,TAGZ5,XTZ,BNB,ADA,XMR,0.147697009856905,0.0920247591517616,0.0899331987269377,0.0667583719690739,0.0633438947068855
20171216,EOS,XTZ,LTC,LINK,BNB,0.104340061732511,0.091180743221502,0.084778293538428,0.061469109280507,0.0609744451740168
20171217,XMR,EOS,LTC,BCH,BNB,0.127999261844711,0.105716852704103,0.0874145915217613,0.0781296897453963,0.0710967791054058
20171218,XMR,BNB,EOS,ADA,XTZ,0.132964480108629,0.0715667003385019,0.0672673998594139,0.056686189672909,0.0530027336403741
20171219,XMR,XLM,BNB,BCH,ADA,0.139959377182463,0.131424799689692,0.0904905958970029,0.0751291251565344,0.0639280809251731
20171220,BNB,LINK,XTZ,BCH,XMR,0.106255458769773,0.0869831148636468,0.0843389893070874,0.0773092302097187,0.0706200771559243
20171221,LTC,BCH,BNB,XMR,XTZ,0.135801128635011,0.0862275206716099,0.0829666481405953,0.0823534175980761,0.0776759909801541
20171222,BNB,EOS,TAGZ5,LTC,INNBCL,0.0951589473943529,0.0859762364571339,0.0707696960972866,0.0661325654837064,0.0521925832446705
20171223,XMR,LTC,BCH,ADA,LINK,0.13430797756106,0.123801106327031,0.0757584951358234,0.0745935275161983,0.0665883889014325
20171224,LTC,ADA,BNB,INNBCL,BCH,0.0955424521191697,0.090943104801362,0.0743698784602625,0.0619496187055894,0.0529038449719331
20171225,BCH,LINK,LTC,BNB,XLM,0.117332457645674,0.0831089866687389,0.0806924703131563,0.0734551602652324,0.058424520635607
20171226,BSV,TAGZ5,LTC,BNB,LINK,0.0813472271707675,0.0773843868164583,0.0714626085219282,0.0694970268674103,0.0646176468300774
20171227,BCH,TAGZ5,LTC,LINK,EOS,0.112291850996362,0.0862859364405636,0.0852110338594527,0.0667826734450381,0.0645509168643689
20171228,LTC,TAGZ5,BCH,LINK,EOS,0.0993267451010221,0.0957841484896048,0.0827606339052742,0.0749409277074603,0.0688181757477369
20171229,EOS,BNB,TAGZ5,XMR,BSV,0.102690984535656,0.0937907047093615,0.0927894275636393,0.0920880348346328,0.0849179401579485
20171230,XTZ,BSV,LTC,EOS,XMR,0.120152359684223,0.102134591860524,0.0959051706351246,0.0896105634978849,0.0781245305029493
20171231,XMR,XTZ,BSV,BNB,TAGZ5,0.155725846740162,0.114990720816407,0.0998476464450071,0.0977052368837086,0.0951327709231177
20180101,XMR,XTZ,BSV,EOS,LTC,0.160462197317397,0.143997722235843,0.0992123859406053,0.0987622460929953,0.0707864723139625
20180102,LINK,XTZ,BSV,EOS,LTC,0.17508210909562,0.160679197143558,0.1024945185899,0.102417654956326,0.0733767677647583
20180103,XTZ,BSV,XLM,ADA,BCH,0.191858731403278,0.181689756556346,0.1660087765608,0.120499418749343,0.0998544422581493
20180104,BSV,LINK,TAGZ5,LTC,BNB,0.171940872529,0.136850528103835,0.120620602332763,0.117724636654465,0.115233861783622
20180105,TAGZ5,ADA,LINK,BSV,LTC,0.167801452464613,0.156836459407931,0.142264878490579,0.133238117891666,0.117371712473197
20180106,TAGZ5,ADA,BSV,XRP,XTZ,0.172294564473894,0.157778730825584,0.124919976458215,0.114432445381576,0.0782482004899169
20180107,BSV,ADA,TAGZ5,XRP,XTZ,0.17028911892752,0.156827434887588,0.120099664370831,0.11537832879304,0.084032373548224
20180108,BSV,ADA,TAGZ5,LTC,XTZ,0.172407323469052,0.144829869180231,0.118780838057569,0.109590372417174,0.0972406586851036
20180109,BSV,ETH,LINK,TAGZ5,ADA,0.172201294143938,0.152897534779017,0.134691112186946,0.117424848052363,0.11294104791605
20180110,TAGZ5,ADA,ETH,BSV,LINK,0.192125991526985,0.138630770942284,0.123762089037306,0.120122968306464,0.10626999236878
20180111,TAGZ5,LINK,ADA,BSV,ETH,0.177675082268965,0.146338870224499,0.136703179453163,0.116891837766509,0.111425960738683
20180112,BSV,BCH,EOS,ETH,XTZ,0.167245081958605,0.153983046740719,0.116081459720925,0.115446999661953,0.11452676948906
20180113,LTC,ETH,LINK,ADA,TAGZ5,0.158832308186588,0.118189956123984,0.117574771733377,0.11157185110378,0.0972391744328453
20180114,ADA,BSV,ETH,TAGZ5,BCH,0.133147419648071,0.112456849702242,0.106962139567148,0.105001614872972,0.0949704629224277
20180115,BNB,ADA,BSV,TAGZ5,ETH,0.190426550653466,0.153547967533614,0.111953826090021,0.110283984267819,0.108635753652571
20180116,BCH,BSV,ADA,ETH,EOS,0.325692095357657,0.223935558553237,0.185291883288608,0.107876444542551,0.0998538889577271
20180117,BSV,BNB,ADA,BCH,XTZ,0.228520417224607,0.171485982692563,0.156057876676741,0.143181814297705,0.136601854079534
20180118,BNB,BSV,LTC,XMR,LINK,0.270565437967557,0.195425797456121,0.16325364724464,0.156188733872135,0.152987262902493
20180119,BSV,ADA,BCH,XLM,XTZ,0.229996284879895,0.170077735453003,0.168260408657526,0.119506185706528,0.117447011569222
20180120,BSV,BCH,ADA,XMR,LTC,0.1979173714747,0.178193413242033,0.170979057306759,0.104514130188261,0.102412551277354
20180121,BSV,BCH,LTC,ADA,XLM,0.237515681441146,0.171827517329319,0.155858599731871,0.148096719125623,0.114907204100847
20180122,BSV,BCH,LTC,ADA,EOS,0.196433584894501,0.178838146208503,0.149951957525443,0.132433833407404,0.0975027877000371
20180123,BCH,BSV,TAGZ5,XRP,INNBCL,0.162294092412223,0.16110176743705,0.147136017177397,0.140332122710062,0.106947381678317
20180124,BSV,TAGZ5,BCH,ADA,XRP,0.217218160009641,0.164136420582224,0.159731962022531,0.135441372185143,0.124201072635235
20180125,BSV,TAGZ5,XRP,BNB,BCH,0.218482310847839,0.155272606527044,0.126273231203203,0.107416016561501,0.107108424801269
20180126,BSV,TAGZ5,BCH,XLM,EOS,0.225016124430223,0.129790022888091,0.117155475294325,0.102347566884313,0.0896347814834785
20180127,XMR,BCH,TAGZ5,INNBCL,XLM,0.322453612527491,0.179414734675055,0.158099985089313,0.11108245266197,0.106739240244183
20180128,BCH,TAGZ5,XLM,BSV,BNB,0.194024479963021,0.162198568151705,0.159454739569476,0.14002338090236,0.12494788931133
20180129,LTC,BCH,XLM,BNB,ADA,0.229428825752734,0.175691307378502,0.128655499543251,0.122845745949603,0.111464185305203
20180130,EOS,BCH,TAGZ5,BNB,LTC,0.211283784462337,0.175593154444437,0.157074402458248,0.147162160863352,0.146447649419534
20180131,BCH,ADA,LTC,EOS,BNB,0.232047952279463,0.167431287301255,0.156929094021989,0.152178140648146,0.151144633804851
20180201,ADA,BCH,EOS,BNB,LTC,0.15684354019931,0.146894505238144,0.138977809041032,0.136094010630254,0.134554648453926
20180202,BCH,ADA,EOS,LTC,BNB,0.157209452076052,0.156893898104266,0.136289537497393,0.133459606066421,0.105748943920949
20180203,ADA,BCH,BNB,BSV,EOS,0.150402466298247,0.149358419640625,0.137763958909391,0.131094487078341,0.114131592935509
20180204,BCH,BSV,EOS,ADA,BNB,0.220183932828612,0.146863065575212,0.137032417828572,0.136669335171994,0.117119134729625
20180205,EOS,BCH,BSV,LTC,ADA,0.172542373677689,0.156638722513534,0.142598968917122,0.135047596084124,0.12218144172318
20180206,BCH,XRP,EOS,XLM,BSV,0.212287161448732,0.165275680827666,0.145420663563376,0.127660571130313,0.127093999694771
20180207,XRP,BSV,EOS,ADA,XLM,0.174886509501523,0.145685520112981,0.135220093140594,0.1257797202318,0.125487585836335
20180208,XLM,ADA,XTZ,INNBCL,BSV,0.167835084265948,0.13021331311383,0.118077210244406,0.108747053124087,0.101075311641849
20180209,BTC,INNBCL,XLM,XTZ,BNB,0.260038818360878,0.168713996256085,0.167035257555649,0.158687488537862,0.15789393304318
20180210,BCH,XLM,ADA,XRP,INNBCL,0.136919230919214,0.117486886054712,0.103003623432182,0.0997300130861581,0.0957604517784902
20180211,XLM,BCH,ADA,INNBCL,BSV,0.19207662333796,0.138688200948186,0.12503682820108,0.100177526205722,0.0997884652750816
20180212,ADA,BCH,XLM,XRP,BSV,0.160393908241554,0.139673385424683,0.131094812725457,0.128756602774938,0.12378718836767
20180213,BTC,LINK,BSV,BCH,XRP,0.253936261472732,0.180875623516344,0.161242476452963,0.145917271022237,0.132906906919326
20180214,BSV,BCH,XRP,BTC,XLM,0.255246335993356,0.156227561246649,0.127800778449846,0.119560689873741,0.11631150316648
20180215,BSV,BCH,XRP,XLM,BTC,0.245544241082915,0.179435267908826,0.172929649651055,0.13952574976083,0.132049712240448
20180216,BCH,XRP,EOS,INNBCL,BTC,0.201655198769278,0.161237118586653,0.14921196394121,0.12598512915236,0.121973064933662
20180217,BCH,BTC,LTC,XRP,INNBCL,0.151061689505568,0.147249933752725,0.142798893547566,0.139051365205656,0.111927716946597
20180218,BCH,XRP,INNBCL,LINK,XLM,0.133705628346639,0.118027447810682,0.112011534027486,0.0999344881568088,0.0949290148471826
20180219,LTC,BCH,XRP,INNBCL,ADA,0.167484780509496,0.135137969800811,0.128898362068319,0.0966458335526973,0.0941491402674325
20180220,BSV,TAGZ5,BCH,XTZ,INNBCL,0.130488391360258,0.130056516964562,0.128881558696106,0.103957599636899,0.0981247071434211
20180221,XRP,BNB,INNBCL,BCH,TAGZ5,0.152149254386444,0.13524640370825,0.133619119303682,0.114258115926994,0.10058477202422
20180222,XRP,XLM,ADA,INNBCL,BNB,0.162375299814465,0.143965883178982,0.132301974151268,0.123956708228964,0.119847854073415
20180223,XRP,XLM,TAGZ5,BSV,BCH,0.24720273351003,0.153360228214639,0.122869551384731,0.0879352593403796,0.0790348424860498
